Bulbasaur, 90, 118, 118
Ivysaur, 120, 151, 151
Venusaur, 160, 198, 198
Charmander, 78, 116, 96
Charmeleon, 116, 158, 129
Charizard, 156, 223, 176
Squirtle, 88, 94, 122
Wartortle, 118, 126, 155
Blastoise, 158, 171, 210
Caterpie, 90, 55, 62
Metapod, 100, 45, 94
Butterfree, 120, 167, 151
Weedle, 80, 63, 55
Kakuna, 90, 46, 86
Beedrill, 130, 169, 150
Pidgey, 80, 85, 76
Pidgeotto, 126, 117, 108
Pidgeot, 166, 166, 157
Rattata, 60, 103, 70
Rattata Alola, 60, 103, 70
Raticate, 110, 161, 144
Raticate Alola, 150, 135, 159
Spearow, 80, 112, 61
Fearow, 130, 182, 135
Ekans, 70, 110, 102
Arbok, 120, 167, 158
Pikachu, 70, 112, 101
Raichu, 120, 193, 165
Raichu Alola, 120, 201, 172
Sandshrew, 100, 126, 145
Sandshrew Alola, 100, 125, 154
Sandslash, 150, 182, 202
Sandslash Alola, 150, 177, 221
Nidoran, 110, 86, 94
Nidorina, 140, 117, 126
Nidoqueen, 180, 180, 174
Nidoran, 92, 105, 76
Nidorino, 122, 137, 112
Nidoking, 162, 204, 157
Clefairy, 140, 107, 116
Clefable, 190, 178, 171
Vulpix, 76, 96, 122
Vulpix Alola, 76, 96, 122
Ninetales, 146, 169, 204
Ninetales Alola, 146, 170, 207
Jigglypuff, 230, 80, 44
Wigglytuff, 280, 156, 93
Zubat, 80, 83, 76
Golbat, 150, 161, 153
Oddish, 90, 131, 116
Gloom, 120, 153, 139
Vileplume, 150, 202, 170
Paras, 70, 121, 99
Parasect, 120, 165, 146
Venonat, 120, 100, 102
Venomoth, 140, 179, 150
Diglett, 20, 109, 88
Diglett Alola, 20, 109, 89
Dugtrio, 70, 167, 147
Dugtrio Alola, 70, 201, 148
Meowth, 80, 92, 81
Meowth Alola, 80, 99, 81
Persian, 130, 150, 139
Persian Alola, 130, 158, 139
Psyduck, 100, 122, 96
Golduck, 160, 191, 163
Mankey, 80, 148, 87
Primeape, 130, 207, 144
Growlithe, 110, 136, 96
Arcanine, 180, 227, 166
Poliwag, 80, 101, 82
Poliwhirl, 130, 130, 130
Poliwrath, 180, 182, 187
Abra, 50, 195, 103
Kadabra, 80, 232, 138
Alakazam, 110, 271, 194
Machop, 140, 137, 88
Machoke, 160, 177, 130
Machamp, 180, 234, 162
Bellsprout, 100, 139, 64
Weepinbell, 130, 172, 95
Victreebel, 160, 207, 138
Tentacool, 80, 97, 182
Tentacruel, 160, 166, 237
Geodude, 80, 132, 163
Geodude Alola, 80, 132, 163
Graveler, 110, 164, 196
Graveler Alola, 110, 164, 196
Golem, 160, 211, 229
Golem Alola, 160, 211, 229
Ponyta, 100, 170, 132
Rapidash, 130, 207, 167
Slowpoke, 180, 109, 109
Slowbro, 190, 177, 194
Magnemite, 50, 165, 128
Magneton, 100, 223, 182
Farfetch'd, 104, 124, 118
Doduo, 70, 158, 88
Dodrio, 120, 218, 145
Seel, 130, 85, 128
Dewgong, 180, 139, 184
Grimer, 160, 135, 90
Grimer Alola, 160, 135, 90
Muk, 210, 190, 184
Muk Alola, 210, 190, 184
Shellder, 60, 116, 168
Cloyster, 100, 186, 323
Gastly, 60, 186, 70
Haunter, 90, 223, 112
Gengar, 120, 261, 156
Onix, 70, 85, 288
Drowzee, 120, 89, 158
Hypno, 170, 144, 215
Krabby, 60, 181, 156
Kingler, 110, 240, 214
Voltorb, 80, 109, 114
Electrode, 120, 173, 179
Exeggcute, 120, 107, 140
Exeggutor, 190, 233, 158
Exeggutor Alola, 190, 230, 158
Cubone, 100, 90, 165
Marowak, 120, 144, 200
Marowak Alola, 120, 144, 200
Hitmonlee, 100, 224, 211
Hitmonchan, 100, 193, 212
Lickitung, 180, 108, 137
Koffing, 80, 119, 164
Weezing, 130, 174, 221
Rhyhorn, 160, 140, 157
Rhydon, 210, 222, 206
Chansey, 500, 60, 176
Tangela, 130, 183, 205
Kangaskhan, 210, 181, 165
Horsea, 60, 129, 125
Seadra, 110, 187, 182
Goldeen, 90, 123, 115
Seaking, 160, 175, 154
Staryu, 60, 137, 112
Starmie, 120, 210, 184
Mr. Mime, 80, 192, 233
Scyther, 140, 218, 170
Jynx, 130, 223, 182
Electabuzz, 130, 198, 173
Magmar, 130, 206, 169
Pinsir, 130, 238, 197
Tauros, 150, 198, 197
Magikarp, 40, 29, 102
Gyarados, 190, 237, 197
Lapras, 260, 165, 180
Ditto, 96, 91, 91
Eevee, 110, 104, 121
Vaporeon, 260, 205, 177
Jolteon, 130, 232, 201
Flareon, 130, 246, 204
Porygon, 130, 153, 139
Omanyte, 70, 155, 174
Omastar, 140, 207, 227
Kabuto, 60, 148, 162
Kabutops, 120, 220, 203
Aerodactyl, 160, 221, 164
Snorlax, 320, 190, 190
Articuno, 180, 192, 249
Zapdos, 180, 253, 188
Moltres, 180, 251, 184
Dratini, 82, 119, 94
Dragonair, 122, 163, 138
Dragonite, 182, 263, 201
Mewtwo, 193, 300, 182
Mew, 200, 210, 210
Chikorita, 90, 92, 122
Bayleef, 120, 122, 155
Meganium, 160, 168, 202
